# recorded: Tue Jun  9 16:59:19 2020
# sweep_type: iv
# Voltage [V]	Current [A]
3.000000000000000000e+00	1.904550000000000044e-06
4.000000000000000000e+00	2.465359999999999889e-06
5.000000000000000000e+00	3.037629999999999917e-06
6.000000000000000000e+00	3.621290000000000103e-06
7.000000000000000000e+00	4.221749999999999856e-06
8.000000000000000000e+00	4.841270000000000152e-06
9.000000000000000000e+00	5.480500000000000298e-06
1.000000000000000000e+01	6.146860000000000132e-06
1.100000000000000000e+01	6.843520000000000336e-06
1.200000000000000000e+01	7.576009999999999823e-06
1.300000000000000000e+01	8.353189999999999216e-06
1.400000000000000000e+01	9.179130000000000324e-06
1.500000000000000000e+01	1.011899999999999917e-05
1.600000000000000000e+01	1.106339999999999982e-05
1.700000000000000000e+01	1.206800000000000033e-05
1.800000000000000000e+01	1.313190000000000043e-05
1.900000000000000000e+01	1.426319999999999924e-05
2.000000000000000000e+01	1.545919999999999930e-05
2.100000000000000000e+01	1.672250000000000125e-05
2.200000000000000000e+01	1.805600000000000128e-05
2.300000000000000000e+01	1.945789999999999881e-05
2.400000000000000000e+01	2.093659999999999873e-05
2.500000000000000000e+01	2.247310000000000003e-05
2.600000000000000000e+01	2.406020000000000047e-05
2.700000000000000000e+01	2.568019999999999851e-05
2.800000000000000000e+01	2.730540000000000118e-05
2.900000000000000000e+01	2.888480000000000168e-05
3.000000000000000000e+01	3.047519999999999919e-05
3.100000000000000000e+01	3.193970000000000186e-05
3.200000000000000000e+01	3.321799999999999943e-05
3.300000000000000000e+01	3.421120000000000205e-05
3.400000000000000000e+01	3.488720000000000032e-05
3.500000000000000000e+01	3.544100000000000169e-05
3.600000000000000000e+01	3.570809999999999783e-05
3.700000000000000000e+01	3.557360000000000106e-05
3.800000000000000000e+01	3.530260000000000315e-05
3.900000000000000000e+01	3.525870000000000176e-05
4.000000000000000000e+01	3.521099999999999881e-05
4.100000000000000000e+01	3.514329999999999944e-05
4.200000000000000000e+01	3.495040000000000337e-05
4.300000000000000000e+01	3.462009999999999740e-05
4.400000000000000000e+01	3.425269999999999818e-05
4.500000000000000000e+01	3.393729999999999777e-05
4.600000000000000000e+01	3.365589999999999739e-05
4.700000000000000000e+01	3.354579999999999991e-05
4.800000000000000000e+01	3.343560000000000222e-05
4.900000000000000000e+01	3.333610000000000089e-05
5.000000000000000000e+01	3.317590000000000198e-05
5.100000000000000000e+01	3.323480000000000238e-05
5.200000000000000000e+01	3.330270000000000219e-05
5.300000000000000000e+01	3.316310000000000102e-05
5.400000000000000000e+01	3.310750000000000108e-05
5.500000000000000000e+01	3.298949999999999984e-05
5.600000000000000000e+01	3.281390000000000104e-05
5.700000000000000000e+01	3.256179999999999714e-05
5.800000000000000000e+01	3.227849999999999936e-05
5.900000000000000000e+01	3.199250000000000244e-05
